datetime,qualitystatus,resolutioncode,netregulationvolume,systemimbalance,alpha,marginalincrementalprice,marginaldecrementalprice,strategicreserveprice,positiveimbalanceprice,negativeimbalanceprice
2024-01-01T18:45:00+00:00,Validated,PT15M,401.58,-517.713,12.22,263.88,25.0,,276.09,276.09
2024-01-01T19:00:00+00:00,Validated,PT15M,853.975,-1305.485,72.44,327.5,5.0,,399.94,399.94
2024-01-01T19:15:00+00:00,Validated,PT15M,983.608,-1100.885,0.0,669.74,-43.61,,669.74,669.74
2024-01-01T19:30:00+00:00,Validated,PT15M,512.733,-429.357,0.0,546.28,-141.48,,546.28,546.28
2024-01-01T19:45:00+00:00,Validated,PT15M,151.198,-124.768,0.0,264.33,-210.37,,264.33,264.33
2024-01-01T20:00:00+00:00,Validated,PT15M,-45.711,42.596,0.0,171.9,-107.23,,-107.23,-107.23
2024-01-01T20:15:00+00:00,Validated,PT15M,-200.242,204.01,0.46,225.63,-129.65,,-130.11,-130.11
2024-01-01T20:30:00+00:00,Validated,PT15M,-75.42,63.009,0.0,218.07,-84.0,,-84.0,-84.0
2024-01-01T20:45:00+00:00,Validated,PT15M,16.139,9.46,0.0,110.66,-84.0,,-84.0,-84.0
2024-01-01T21:00:00+00:00,Validated,PT15M,45.418,-54.686,0.0,202.85,-121.4,,202.85,202.85
2024-01-01T21:15:00+00:00,Validated,PT15M,175.498,-191.836,1.3,105.66,4.96,,106.96,106.96
2024-01-01T21:30:00+00:00,Validated,PT15M,94.384,-74.462,0.0,212.84,-35.6,,212.84,212.84
2024-01-01T21:45:00+00:00,Validated,PT15M,59.802,-27.597,0.0,200.0,-34.48,,200.0,200.0
2024-01-01T22:00:00+00:00,Validated,PT15M,23.774,-24.155,0.0,216.32,-38.24,,216.32,216.32
2024-01-01T22:15:00+00:00,Validated,PT15M,-23.421,40.552,0.0,105.82,-20.57,,-20.57,-20.57
2024-01-01T22:30:00+00:00,Validated,PT15M,-104.008,142.015,0.0,94.3,-38.78,,-38.78,-38.78
2024-01-01T22:45:00+00:00,Validated,PT15M,-91.892,109.494,0.0,213.21,-100.95,,-100.95,-100.95
2024-01-01T23:00:00+00:00,Validated,PT15M,13.544,7.41,0.0,95.24,-51.09,,-51.09,-51.09
2024-01-01T23:15:00+00:00,Validated,PT15M,-34.727,54.574,0.0,94.3,-42.27,,-42.27,-42.27
2024-01-01T23:30:00+00:00,Validated,PT15M,-93.396,123.897,0.0,88.08,-99.48,,-99.48,-99.48
2024-01-01T23:45:00+00:00,Validated,PT15M,-108.513,125.52,0.0,91.67,-126.97,,-126.97,-126.97
2024-01-02T00:00:00+00:00,Validated,PT15M,130.92,-136.825,0.0,90.92,-38.26,,90.92,90.92
2024-01-02T00:15:00+00:00,Validated,PT15M,-45.304,65.709,0.0,88.08,-44.04,,-44.04,-44.04
2024-01-02T00:30:00+00:00,Validated,PT15M,-110.718,124.433,0.0,82.77,-134.92,,-134.92,-134.92
2024-01-02T00:45:00+00:00,Validated,PT15M,-55.718,26.052,0.0,124.25,-87.0,,-87.0,-87.0
2024-01-02T01:00:00+00:00,Validated,PT15M,-83.827,95.814,0.0,85.47,-87.0,,-87.0,-87.0
2024-01-02T01:15:00+00:00,Validated,PT15M,-87.144,81.586,0.0,82.77,-87.0,,-87.0,-87.0
2024-01-02T01:30:00+00:00,Validated,PT15M,-79.86,76.632,0.0,77.73,-87.0,,-87.0,-87.0
2024-01-02T01:45:00+00:00,Validated,PT15M,-67.884,50.213,0.0,81.93,-87.0,,-87.0,-87.0
2024-01-02T02:00:00+00:00,Validated,PT15M,160.364,-159.506,0.98,80.86,-38.08,,81.85,81.85
2024-01-02T02:15:00+00:00,Validated,PT15M,28.768,-38.41,0.0,77.73,-37.21,,77.73,77.73
2024-01-02T02:30:00+00:00,Validated,PT15M,7.63,-5.924,0.0,74.57,-37.48,,74.57,74.57
2024-01-02T02:45:00+00:00,Validated,PT15M,-2.863,-3.299,0.0,77.56,-40.32,,77.56,77.56
2024-01-02T03:00:00+00:00,Validated,PT15M,-1.754,-7.335,0.0,74.57,-39.97,,74.57,74.57
2024-01-02T03:15:00+00:00,Validated,PT15M,-16.245,17.693,0.0,74.69,-38.79,,-38.79,-38.79
2024-01-02T03:30:00+00:00,Validated,PT15M,2.732,-16.201,0.0,74.57,-37.31,,74.57,74.57
2024-01-02T03:45:00+00:00,Validated,PT15M,-6.897,7.275,0.0,74.57,-37.2,,-37.2,-37.2
2024-01-02T04:00:00+00:00,Validated,PT15M,-150.132,169.522,0.49,74.57,-72.62,,-73.11,-73.11
2024-01-02T04:15:00+00:00,Validated,PT15M,-36.427,16.788,0.0,77.04,-90.0,,-90.0,-90.0
2024-01-02T04:30:00+00:00,Validated,PT15M,-90.105,83.403,0.0,76.11,-37.34,,-37.34,-37.34
2024-01-02T04:45:00+00:00,Validated,PT15M,-106.951,139.196,0.0,74.57,-38.71,,-38.71,-38.71
2024-01-02T05:00:00+00:00,Validated,PT15M,-266.01,338.86,0.0,106.97,-206.21,,-206.21,-206.21
2024-01-02T05:15:00+00:00,Validated,PT15M,-129.733,111.437,0.0,106.97,-90.0,,-90.0,-90.0
2024-01-02T05:30:00+00:00,Validated,PT15M,-35.475,37.794,0.0,75.63,-87.0,,-87.0,-87.0
2024-01-02T05:45:00+00:00,Validated,PT15M,-32.2,42.491,0.0,75.13,-61.08,,-61.08,-61.08
2024-01-02T06:00:00+00:00,Validated,PT15M,-99.015,131.81,0.0,119.16,-166.96,,-166.96,-166.96
2024-01-02T06:15:00+00:00,Validated,PT15M,-36.019,33.716,0.0,127.14,-87.0,,-87.0,-87.0
2024-01-02T06:30:00+00:00,Validated,PT15M,-38.091,46.463,0.0,116.23,-60.55,,-60.55,-60.55
2024-01-02T06:45:00+00:00,Validated,PT15M,-23.221,10.803,0.0,101.97,-37.52,,-37.52,-37.52
